"1.NP", , ,"0/-/-","","","","","Auto"
 , ,"Pokoj_jih PIR zelena","1/0/13","","","","DPST-1-1","Auto"
 , ,"Pokoj_sever PIR zelena","1/0/14","","","","DPST-1-1","Auto"
 ,"Senzory", ,"1/1/-","","","","","Auto"
 , ,"Kancelar PIR jas","1/1/0","","","","DPST-9-4","Auto"
 , ,"Kancelar PIR teplota ","1/1/1","","","","DPST-9-1","Auto"
 , ,"Koupelna_patro teplomer absolutni_vlhkost","1/1/2","","","","DPST-9-1","Auto"
 , ,"Pokoj_sever tlacitko teplota","1/1/3","","","","DPST-9-1","Auto"
 , ,"Pokoj_jih PIR teplota","1/1/4","","","","DPST-9-1","Auto"
 , ,"Pokoj_jih PIR jas","1/1/5","","","","DPST-9-4","Auto"
 , ,"Pokoj_sever PIR teplota","1/1/6","","","","DPST-9-1","Auto"
 , ,"Pokoj_sever PIR jas","1/1/7","","","","DPST-9-4","Auto"
 , ,"Kancelar tlacitko teplota","1/1/8","","","","DPST-9-1","Auto"
 , ,"Koupelna_patro teplomer vlhkost","1/1/9","","","","DPST-9-1","Auto"
 , ,"Pokoj_jih tlacitko teplota","1/1/10","","","","DPST-9-1","Auto"
 , ,"Koupelna_patro teplomer teplota","1/1/11","","","","DPST-9-1","Auto"
 , ,"Koupelna_patro PIR teplota","1/1/12","","","","DPST-9-1","Auto"
 , ,"Chodba_patro PIR teplota","1/1/14","","","","DPST-9-1","Auto"
 , ,"Koupelna_patro PIR jas","1/1/18","","","","DPST-9-4","Auto"
 , ,"Chodba_patro PIR jas","1/1/22","","","","DPST-9-4","Auto"
 ,"Binarni senzory", ,"1/2/-","","","","","Auto"
 , ,"Kancelar PIR pohyb","1/2/3","","","","DPST-1-1","Auto"
 , ,"Chodba_patro PIR pohyb","1/2/4","","","","DPST-1-1","Auto"
 , ,"Pokoj_jih PIR pohyb","1/2/5","","","","DPST-1-1","Auto"
 , ,"Pokoj_sever PIR pohyb","1/2/6","","","","DPST-1-1","Auto"
 , ,"Koupelna_patro PIR pohyb","1/2/7","","","","DPST-1-1","Auto"
 ,"Tlacitka", ,"1/3/-","","","","","Auto"
 , ,"Pokoj_jih tlacitko 1","1/3/8","","","","DPST-1-1","Auto"
 , ,"Pokoj_jih tlacitko 2","1/3/9","","","","DPST-1-1","Auto"
 , ,"Pokoj_jih tlacitko 3","1/3/10","","","","DPST-1-1","Auto"
 , ,"Pokoj_jih tlacitko 4","1/3/11","","","","DPST-1-1","Auto"
 , ,"Koupelna_patro tlacitko 1","1/3/20","","","","DPST-1-1","Auto"
 , ,"Koupelna_patro tlacitko 2","1/3/22","","","","DPST-1-1","Auto"
 , ,"Koupelna_patro tlacitko 3","1/3/23","","","","DPST-1-1","Auto"
 , ,"Koupelna_patro tlacitko 4","1/3/24","","","","DPST-1-1","Auto"
 , ,"Pokoj_sever tlacitko 4","1/3/35","","","","DPST-1-1","Auto"
 , ,"Pokoj_sever tlacitko 3","1/3/36","","","","DPST-1-1","Auto"
 , ,"Pokoj_sever tlacitko 2","1/3/37","","","","DPST-1-1","Auto"
 , ,"Pokoj_sever tlacitko 1","1/3/38","","","","DPST-1-1","Auto"
 , ,"Kancelar tlacitko 1","1/3/39","","","","DPST-1-1","Auto"
 , ,"Kancelar tlacitko 2","1/3/40","","","","DPST-1-1","Auto"
 , ,"Kancelar tlacitko 3","1/3/41","","","","DPST-1-1","Auto"
 , ,"Kancelar tlacitko 4","1/3/42","","","","DPST-1-1","Auto"
 ,"Ostatni", ,"1/4/-","","","","","Auto"
 , ,"Patro DenNoc","1/4/0","","","","DPST-1-2","Auto"
 , ,"Pokoj_sever tlacitko 4 LED","1/4/1","","","","DPST-5-5","Auto"
 , ,"Pokoj_sever tlacitko 3 LED","1/4/2","","","","DPST-5-5","Auto"
